TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Stp1,42,Mup1,-2.206730908,2432.027618,33.70579096,78.33753848,11.2479439
Stp1,62,Snf11,-2.058122569,1612.243027,12.1449547,75.98716858,10.65485351
Stp1,95,Hem12,-1.532365638,2076.787629,16.03598538,65.4289971,11.02013798
Stp1,60,Asn1,-2.029085111,1721.547639,16.8196635,75.49896008,10.74949039
Stp1,54,Sed1,-0.424229292,963.2468935,6.708955945,25.4763259,9.911761818
Stp1,52,Bap3,-2.142858446,3395.274511,27.07964601,77.35692884,11.72931251
Swi4,50,Cwp2,0.20253403,5753.4802,46.44277627,-15.07177658,12.49021917
Swi4,45,EXG1,0.020476561,1338.018651,1.221021507,-1.42944733,10.38588251
Swi4,54,Sed1,-0.104563958,636.5725098,4.367519469,6.991398979,9.314181046
Swi4,74,Aqr1,-0.220997694,227.0577105,0.366102563,14.20280984,7.826915219
Swi4,38,Pop3,0.277897427,1171.77997,5.805510505,-21.24266147,10.19448598
Swi4,73,Cap1,-0.929279002,490.6068388,2.715074197,47.48792905,8.938423534
Swi4,53,Cwp2,0.552973339,5639.951345,45.49949765,-46.7106232,12.461467
Swi4,33,Cip1,-0.218246878,243.2761184,0.676605993,14.03906254,7.926450892
Swi5,48,Wtm1,0.065787665,325.4511868,3.136374144,-4.665622461,8.346297365
Swi5,94,Dse1,-0.063565384,65.09023737,-1.792875274,4.310361729,6.02436927
Swi5,40,Rsm7,-1.145701027,137.4127233,-0.472865674,54.80299836,7.102371782
Swi5,44,Amn1,-0.161890564,607.5088821,8.735970125,10.61470366,9.246761692
Swi5,31,YKL044W,-0.188837391,325.4511868,2.474261543,12.26875733,8.346297365
Swi5,77,Hog1,-0.081946597,1113.766284,0.315119994,5.521798718,10.12123081
Swi5,45,EXG1,-0.060962674,325.4511868,-0.05262695,4.137576004,8.346297365
Tda9,29,Icy1,-0.213360375,209.1430364,0.490649929,13.74741351,7.708346153
Tda9,86,Hxt7,-0.217785505,56.30774057,-1.136279533,14.01156786,5.815261357
Tda9,87,Hxk1,-0.411067538,96.52755527,-0.668689939,24.79333321,6.592868935
Tda9,30,Icy1,-0.251892006,96.52755527,-0.706567339,16.0205646,6.592868935
Tda9,36,Ald6,-0.492525425,1230.72633,10.7267604,28.92202054,10.26529428
Tda9,32,Gsy2,-0.179804285,168.9232217,-0.117741342,11.71772488,7.400223857
Tda9,62,Snf11,0.000200669,289.5826658,1.489526605,-0.013910252,8.177831436
Tda9,69,Spi1,-0.258598292,136.74737,-0.350537189,16.41003232,7.095369276
Tda9,88,Usv1,0.030408669,144.7913329,-0.170193496,-2.130138672,7.177831436
Tda9,72,Gph1,-0.132127671,136.74737,-0.250911673,8.751526509,7.095369276
Tec1,47,Sim1,-0.431212388,151.9745291,-0.097112361,25.83617223,7.247685738
Tec1,65,Kar4,0.050908405,243.1592465,0.649651754,-3.591699222,7.925757643
Tec1,64,Gpa1,-0.110860787,151.9745291,-0.156948072,7.396462371,7.247685738
Tec1,61,Cdc6,-0.168198496,60.78981163,-1.128853222,11.00467211,5.925757643
Tec1,38,Pop3,-1.078596037,60.78981163,-1.025073603,52.65106232,5.925757643
Tec1,96,Tec1,-1.496673132,547.1083046,4.51111795,64.56303714,9.095682645
Tec1,37,Pcl2,-1.630547951,577.5032105,4.414966255,67.70344813,9.173685157
Tod6,33,Cip1,0.038100479,96.14614214,-1.201732453,-2.676105365,6.587157065
Tod6,45,EXG1,-0.056283112,176.2679272,-0.120237238,3.826129412,7.461626183
Tod6,34,Faa1,0.017416674,138.8777609,-0.508473858,-1.214548314,7.117671782
Tod6,30,Icy1,0.0118168,128.1948562,-0.760487337,-0.822441793,7.002194565
Yap1,56,Bdh2,-0.108991731,186.4936627,0.266730225,7.276413877,7.542982797
Yap1,67,Lys20,-0.032396681,680.7018689,5.013917391,2.220541645,9.41087926
Yap1,49,Ahp1,-0.285002663,5753.329495,2.904031764,17.92599064,12.49018138
